factor,slider.response,my_rs,difference
size_manipulated,0.811111111,0.810454545,-6.565659999999696e-4
size_manipulated,0.922222222,0.954090909,0.03186868700000001
size_manipulated,0.274444444,0.217954545,-0.05648989900000001
standard_plot,0.145555556,0.451363636,0.30580808000000004
standard_plot,0.368888889,0.810454545,0.441565656
standard_plot,0.851111111,0.954090909,0.102979798
size_manipulated,0.417777778,0.487272727,0.06949494900000003
size_manipulated,0.64,0.559090909,-0.08090909099999999
standard_plot,0.254444444,0.325681818,0.07123737400000002
standard_plot,0.441111111,0.595,0.15388888899999997
standard_plot,0.393333333,0.487272727,0.093939394
standard_plot,0.674444444,0.720681818,0.04623737399999994
size_manipulated,0.848888889,0.738636364,-0.11025252500000005
size_manipulated,0.356666667,0.307727273,-0.04893939399999997
size_manipulated,0.743333333,0.702727273,-0.04060606
standard_plot,0.772222222,0.846363636,0.07414141399999996
standard_plot,0.426666667,0.253863636,-0.172803031
standard_plot,0.335555556,0.217954545,-0.11760101099999998
standard_plot,0.71,0.7925,0.08250000000000002
size_manipulated,0.947777778,0.972045455,0.02426767699999998
standard_plot,0.401111111,0.630909091,0.22979798
standard_plot,0.601111111,0.756590909,0.155479798
standard_plot,0.402222222,0.307727273,-0.094494949
standard_plot,0.382222222,0.523181818,0.14095959599999996
size_manipulated,0.653333333,0.523181818,-0.130151515
size_manipulated,0.433333333,0.325681818,-0.10765151499999998
standard_plot,0.761111111,0.864318182,0.10320707100000004
size_manipulated,0.648888889,0.577045455,-0.07184343399999993
size_manipulated,0.777777778,0.612954545,-0.164823233
size_manipulated,0.791111111,0.774545455,-0.01656565599999993
standard_plot,0.814444444,0.936136364,0.12169191999999995
size_manipulated,0.898888889,0.7925,-0.106388889
standard_plot,0.448888889,0.3975,-0.05138888899999999
standard_plot,0.424444444,0.415454545,-0.00898989899999996
standard_plot,0.396666667,0.577045455,0.18037878800000007
size_manipulated,0.803333333,0.666818182,-0.136515151
standard_plot,0.456666667,0.343636364,-0.113030303
size_manipulated,0.318888889,0.271818182,-0.04707070699999999
standard_plot,0.653333333,0.702727273,0.04939394000000008
standard_plot,0.412222222,0.469318182,0.05709595999999994
size_manipulated,0.587777778,0.451363636,-0.13641414199999996
size_manipulated,0.657777778,0.541136364,-0.11664141400000004
size_manipulated,0.671111111,0.469318182,-0.201792929
size_manipulated,0.711111111,0.720681818,0.00957070699999995
standard_plot,0.388888889,0.271818182,-0.117070707
standard_plot,0.826666667,0.900227273,0.07356060600000003
size_manipulated,0.778888889,0.882272727,0.10338383800000006
size_manipulated,0.393333333,0.2,-0.193333333
size_manipulated,0.364444444,0.289772727,-0.07467171699999997
size_manipulated,0.948888889,0.99,0.04111111099999998
size_manipulated,0.772222222,0.846363636,0.07414141399999996
size_manipulated,0.508888889,0.3975,-0.11138888899999994
standard_plot,0.768888889,0.882272727,0.11338383800000008
size_manipulated,0.636666667,0.595,-0.04166666699999999
standard_plot,0.444444444,0.2,-0.244444444
size_manipulated,0.798888889,0.756590909,-0.04229797999999996
size_manipulated,0.876666667,0.900227273,0.02356060600000009
standard_plot,0.732222222,0.738636364,0.00641414200000001
size_manipulated,0.386666667,0.433409091,0.046742424
size_manipulated,0.865555556,0.918181818,0.05262626199999998
size_manipulated,0.41,0.235909091,-0.174090909
standard_plot,0.665555556,0.828409091,0.162853535
size_manipulated,0.717777778,0.684772727,-0.03300505099999995
standard_plot,0.348888889,0.235909091,-0.112979798
standard_plot,0.267777778,0.433409091,0.165631313
standard_plot,0.386666667,0.666818182,0.28015151499999996
standard_plot,0.297222208,0.612954545,0.31573233700000003
standard_plot,0.260185171,0.595,0.334814829
size_manipulated,NA,0.559090909,NA
size_manipulated,0.630555541,0.720681818,0.09012627699999998
size_manipulated,0.149074095,0.379545455,0.23047136
size_manipulated,0.104629623,0.271818182,0.167188559
standard_plot,0.182407414,0.756590909,0.574183495
size_manipulated,0.310185185,0.217954545,-0.09223063999999996
size_manipulated,0.529629672,0.774545455,0.24491578300000005
size_manipulated,0.977777834,0.972045455,-0.00573237900000001
size_manipulated,0.954629686,0.936136364,-0.01849332199999998
standard_plot,0.058333326,0.505227273,0.446893947
standard_plot,0.45185188,0.900227273,0.44837539300000007
standard_plot,0.065740762,0.3975,0.331759238
size_manipulated,0.153703725,0.666818182,0.5131144569999999
size_manipulated,0.069444444,0.343636364,0.27419192000000003
size_manipulated,0.110185199,0.648863636,0.538678437
standard_plot,0.163888896,0.738636364,0.574747468
standard_plot,0.002777771,0.271818182,0.26904041100000003
size_manipulated,0.053703697,0.487272727,0.43356903
standard_plot,0.197222215,0.666818182,0.46959596699999995
standard_plot,0.707407422,0.882272727,0.17486530500000008
standard_plot,0.412037037,0.648863636,0.23682659899999997
standard_plot,0.170370384,0.433409091,0.263038707
size_manipulated,0.190740762,0.433409091,0.242668329
size_manipulated,0.191666674,0.595,0.40333332599999994
size_manipulated,0.079629651,0.2,0.12037034900000002
size_manipulated,0.123148141,0.361590909,0.23844276800000003
size_manipulated,0.749074088,0.756590909,0.00751682100000006
standard_plot,0.787037037,0.846363636,0.05932659899999992
size_manipulated,0.196296303,0.253863636,0.057567333
standard_plot,0.059259273,0.253863636,0.194604363
size_manipulated,0.099074081,0.235909091,0.13683500999999998
standard_plot,0.737037023,0.918181818,0.18114479500000005
standard_plot,0.094444452,0.379545455,0.28510100299999996
standard_plot,0.329629616,0.684772727,0.355143111
standard_plot,0.119444459,0.487272727,0.367828268
size_manipulated,0.094444452,0.505227273,0.410782821
size_manipulated,0.904629601,0.954090909,0.04946130800000004
standard_plot,0.013888889,0.415454545,0.401565656
size_manipulated,0.602777764,0.810454545,0.207676781
standard_plot,0.151851866,0.577045455,0.425193589
size_manipulated,0.25,0.523181818,0.27318181799999997
standard_plot,0.125,0.469318182,0.344318182
